id,name,area,population
110000,北京市,16410,21510000
120000,天津市,11760,15600000
310000,上海市,6341,24200000
500000,重庆市,82403,31000000
210000,辽宁省,146000,43640000
220000,吉林省,187400,27040000
230000,黑龙江省,474200,37730000
320000,江苏省,102600,80410000
330000,浙江省,101800,57600000
340000,安徽省,139600,63310000
350000,福建省,121400,39910000
360000,江西省,167200,46690000
370000,山东省,157100,105970000
410000,河南省,167000,95920000
420000,湖北省,185900,59030000
430000,湖南省,210000,68990000
440000,广东省,179800,125030000
460000,海南省,35400,10090000
510000,四川省,486000,83410000
520000,贵州省,176100,40330000
530000,云南省,394000,49620000
610000,陕西省,205800,38640000
620000,甘肃省,425000,26370000
630000,青海省,720000,6030000
710000,台湾省,36190,23600000
150000,内蒙古自治区,1183000,25270000
450000,广西壮族自治区,236700,49260000
540000,西藏自治区,1228400,3440000
640000,宁夏回族自治区,66400,6800000
650000,新疆维吾尔自治区,1660000,24840000
810000,香港特别行政区,1106,7480000
820000,澳门特别行政区,32.9,640000
